INSTANCE_ID,REFERENCE_ID,level_all_num,level1_num,level2_num,level3_num,level4_num,level5_num,level6_num,level1_char,level2_char,level3_char,level4_char,level5_char,level6_char,ANCHOR_TEXT,CONTEXT_PARAGRAPH
532,3121190,2.3.2.4,2,3,2,4,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Hybrid Approaches,,,"Friberg et al., 2016","Other studies found similarly improved performance with use of BME. Xu et al. (2016b) used a BME approach to merge ambient ozone concentration data from the Air Quality System (AQS) database with CAMx simulations modeled at a 36-km scale and incorporated a regional correction factor to allow for flexible selection of spatial points included in the model. The regionalized model decreased RMSE from 6.7 to 5.5 ppb and increased R2 from 0.88 to 0.89 for 8-hour daily max ambient ozone concentration. Xu et al. (2017) found that RMSE was larger when using hourly ambient ozone concentrations as model input compared with 8-hour daily max and 24-hour avg input concentrations to make 8-hour daily max and 24-hour avg predictions, respectively. RMSE was also slightly larger when a 36-km grid was used in the CAMx model compared with a 12-km grid. For the U.S. and Canada, Robichaud and Menard (2014) combined predictions from the CTM Canadian Hemispheric and Regional Ozone and NOX System (CHRONOS, 2005) and Global Environmental Multiscale coupled with Model of Air quality and Chemistry (GEM-MACH, 2012) with surface data from AQS and Canadian databases through an optimal interpolation scheme in which the model and monitor data were linked through a Kalman filter optimization matrix. This approach is known as Objective Analysis, and it was shown to produce near-zero systematic errors and smaller random errors (of positive magnitude) compared with CTM alone. Reich et al. (2014) employed a more flexible downscaler using spectral methods. When compared with a linear downscaler, the spectral downscaler had a smaller bias and MSE in the ambient ozone concentration estimate. Other hybrid methods are more straightforward and use weighting factors to combine data sources (Friberg et al., 2016). This weighting approach reduced error in ambient ozone concentration and increased the spatial correlation compared with using CMAQ alone."
533,3606804,2.3.2.4,2,3,2,4,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Hybrid Approaches,,,Di et al. (2017),"Hybrid models need not be restricted to only CTM and observed data. Di et al. (2017) calibrated satellite-based MODIS vegetation data against GEOS-Chem CTM output. They predicted ground-level 8-hour daily max ambient ozone concentrations as a function of the calibrated satellite data along with surface ambient ozone concentrations in the AQS database and land use variables in a neural network model that can accommodate nonlinearity of the variables. For the years 2000-2012, 10-fold cross-validation bias was reported to be 20% with R2 of 0.76. Tang et al. (2015b) adjusted CMAQ output with both observed data and MODIS AOD data from Terra and Aqua satellites. Incorporating observed and satellite data improved the correlation between surface observed data when compared to CMAQ alone in the southeastern CONUS, with mixed results for mean bias in the prediction of ambient ozone concentration. A recent study of spatial and temporal biases in satellite data informs our understanding of the limitations of hybrid models using satellite data as inputs (Verstraeten et al., 2013). Global column data obtained using Tropospheric Emissions Spectrometer (TES) version 4 were compared with ozonesonde balloon measurements obtained over 2005-2010. Negative biases in ozonesonde concentration measurements up to 8 ppb were noted for June, July, and August in the midlatitudes (coincident with the U.S.). Larger biases were observed for the midlatitudes compared with the subtropics or tropics. These data were obtained at a single time during the early afternoon as the ozonesonde passed each location, so nighttime ambient ozone concentrations were not accounted for."
534,3010150,2.3.2.4,2,3,2,4,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Hybrid Approaches,,,Tang et al. (2015b),"Hybrid models need not be restricted to only CTM and observed data. Di et al. (2017) calibrated satellite-based MODIS vegetation data against GEOS-Chem CTM output. They predicted ground-level 8-hour daily max ambient ozone concentrations as a function of the calibrated satellite data along with surface ambient ozone concentrations in the AQS database and land use variables in a neural network model that can accommodate nonlinearity of the variables. For the years 2000-2012, 10-fold cross-validation bias was reported to be 20% with R2 of 0.76. Tang et al. (2015b) adjusted CMAQ output with both observed data and MODIS AOD data from Terra and Aqua satellites. Incorporating observed and satellite data improved the correlation between surface observed data when compared to CMAQ alone in the southeastern CONUS, with mixed results for mean bias in the prediction of ambient ozone concentration. A recent study of spatial and temporal biases in satellite data informs our understanding of the limitations of hybrid models using satellite data as inputs (Verstraeten et al., 2013). Global column data obtained using Tropospheric Emissions Spectrometer (TES) version 4 were compared with ozonesonde balloon measurements obtained over 2005-2010. Negative biases in ozonesonde concentration measurements up to 8 ppb were noted for June, July, and August in the midlatitudes (coincident with the U.S.). Larger biases were observed for the midlatitudes compared with the subtropics or tropics. These data were obtained at a single time during the early afternoon as the ozonesonde passed each location, so nighttime ambient ozone concentrations were not accounted for."
535,3403864,2.3.2.4,2,3,2,4,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Hybrid Approaches,,,"Verstraeten et al., 2013","Hybrid models need not be restricted to only CTM and observed data. Di et al. (2017) calibrated satellite-based MODIS vegetation data against GEOS-Chem CTM output. They predicted ground-level 8-hour daily max ambient ozone concentrations as a function of the calibrated satellite data along with surface ambient ozone concentrations in the AQS database and land use variables in a neural network model that can accommodate nonlinearity of the variables. For the years 2000-2012, 10-fold cross-validation bias was reported to be 20% with R2 of 0.76. Tang et al. (2015b) adjusted CMAQ output with both observed data and MODIS AOD data from Terra and Aqua satellites. Incorporating observed and satellite data improved the correlation between surface observed data when compared to CMAQ alone in the southeastern CONUS, with mixed results for mean bias in the prediction of ambient ozone concentration. A recent study of spatial and temporal biases in satellite data informs our understanding of the limitations of hybrid models using satellite data as inputs (Verstraeten et al., 2013). Global column data obtained using Tropospheric Emissions Spectrometer (TES) version 4 were compared with ozonesonde balloon measurements obtained over 2005-2010. Negative biases in ozonesonde concentration measurements up to 8 ppb were noted for June, July, and August in the midlatitudes (coincident with the U.S.). Larger biases were observed for the midlatitudes compared with the subtropics or tropics. These data were obtained at a single time during the early afternoon as the ozonesonde passed each location, so nighttime ambient ozone concentrations were not accounted for."
536,5031517,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,"U.S. EPA, 2018","The 2013 Ozone ISA and the 2019 PM ISA (U.S. EPA, 2018, 2013) presented several studies that evaluated integrated microenvironmental exposure (ME) and dose models, such as the Air Pollutants Exposure (APEX) and the Stochastic Human Exposure and Dose Simulation (SHEDS) model (U.S. EPA, 2016, 2009). These ME models use pollutant concentrations, human time-activity patterns, population demographics (e.g., age, sex, race/ethnicity), anthropometric attributes (e.g., height, weight), physiological information (e.g., energy expenditure, breathing rate), and building ventilation to predict human exposures that occur in different locations (e.g., at home, at work, in a vehicle). Both APEX and SHEDS models are population-based, meaning that demographic data from the US Census are used to appropriately weight the model simulated population to represent a larger population. APEX in particular (and prior versions of that model) has been used to estimate exposure and risk for criteria pollutants over the past three decades. Because these models are probabilistic, many of the key model input variables (e.g., resting metabolic rate, ventilation rate, microenvironmental factors) are sampling for statistical distributions to account for variability in these factors and the resulting exposures. In addition, both models can be run using Monte Carlo simulations that allow for evaluating how uncertainty of input parameters affects variability in exposures to simulated individuals. These two models different in that SHEDS can estimate multiroute exposures, including inhalation, while APEX only simulates inhalation exposure. Advantages of ME that were identified in the 2013 Ozone ISA include the ability of the user to design analyses for specific populations (assuming that demographic and time-activity data are available) and to include indoor air sources (which are uncommon for ozone). Limitations include resource intensiveness of the ME models and that indoor exposures cannot be easily evaluated (Georgopoulos et al., 2005), the latter of which is of lesser importance for estimating ambient air exposure."
537,1508492,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,2013,"The 2013 Ozone ISA and the 2019 PM ISA (U.S. EPA, 2018, 2013) presented several studies that evaluated integrated microenvironmental exposure (ME) and dose models, such as the Air Pollutants Exposure (APEX) and the Stochastic Human Exposure and Dose Simulation (SHEDS) model (U.S. EPA, 2016, 2009). These ME models use pollutant concentrations, human time-activity patterns, population demographics (e.g., age, sex, race/ethnicity), anthropometric attributes (e.g., height, weight), physiological information (e.g., energy expenditure, breathing rate), and building ventilation to predict human exposures that occur in different locations (e.g., at home, at work, in a vehicle). Both APEX and SHEDS models are population-based, meaning that demographic data from the US Census are used to appropriately weight the model simulated population to represent a larger population. APEX in particular (and prior versions of that model) has been used to estimate exposure and risk for criteria pollutants over the past three decades. Because these models are probabilistic, many of the key model input variables (e.g., resting metabolic rate, ventilation rate, microenvironmental factors) are sampling for statistical distributions to account for variability in these factors and the resulting exposures. In addition, both models can be run using Monte Carlo simulations that allow for evaluating how uncertainty of input parameters affects variability in exposures to simulated individuals. These two models different in that SHEDS can estimate multiroute exposures, including inhalation, while APEX only simulates inhalation exposure. Advantages of ME that were identified in the 2013 Ozone ISA include the ability of the user to design analyses for specific populations (assuming that demographic and time-activity data are available) and to include indoor air sources (which are uncommon for ozone). Limitations include resource intensiveness of the ME models and that indoor exposures cannot be easily evaluated (Georgopoulos et al., 2005), the latter of which is of lesser importance for estimating ambient air exposure."
538,5418890,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,"U.S. EPA, 2016","The 2013 Ozone ISA and the 2019 PM ISA (U.S. EPA, 2018, 2013) presented several studies that evaluated integrated microenvironmental exposure (ME) and dose models, such as the Air Pollutants Exposure (APEX) and the Stochastic Human Exposure and Dose Simulation (SHEDS) model (U.S. EPA, 2016, 2009). These ME models use pollutant concentrations, human time-activity patterns, population demographics (e.g., age, sex, race/ethnicity), anthropometric attributes (e.g., height, weight), physiological information (e.g., energy expenditure, breathing rate), and building ventilation to predict human exposures that occur in different locations (e.g., at home, at work, in a vehicle). Both APEX and SHEDS models are population-based, meaning that demographic data from the US Census are used to appropriately weight the model simulated population to represent a larger population. APEX in particular (and prior versions of that model) has been used to estimate exposure and risk for criteria pollutants over the past three decades. Because these models are probabilistic, many of the key model input variables (e.g., resting metabolic rate, ventilation rate, microenvironmental factors) are sampling for statistical distributions to account for variability in these factors and the resulting exposures. In addition, both models can be run using Monte Carlo simulations that allow for evaluating how uncertainty of input parameters affects variability in exposures to simulated individuals. These two models different in that SHEDS can estimate multiroute exposures, including inhalation, while APEX only simulates inhalation exposure. Advantages of ME that were identified in the 2013 Ozone ISA include the ability of the user to design analyses for specific populations (assuming that demographic and time-activity data are available) and to include indoor air sources (which are uncommon for ozone). Limitations include resource intensiveness of the ME models and that indoor exposures cannot be easily evaluated (Georgopoulos et al., 2005), the latter of which is of lesser importance for estimating ambient air exposure."
539,194009,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,2009,"The 2013 Ozone ISA and the 2019 PM ISA (U.S. EPA, 2018, 2013) presented several studies that evaluated integrated microenvironmental exposure (ME) and dose models, such as the Air Pollutants Exposure (APEX) and the Stochastic Human Exposure and Dose Simulation (SHEDS) model (U.S. EPA, 2016, 2009). These ME models use pollutant concentrations, human time-activity patterns, population demographics (e.g., age, sex, race/ethnicity), anthropometric attributes (e.g., height, weight), physiological information (e.g., energy expenditure, breathing rate), and building ventilation to predict human exposures that occur in different locations (e.g., at home, at work, in a vehicle). Both APEX and SHEDS models are population-based, meaning that demographic data from the US Census are used to appropriately weight the model simulated population to represent a larger population. APEX in particular (and prior versions of that model) has been used to estimate exposure and risk for criteria pollutants over the past three decades. Because these models are probabilistic, many of the key model input variables (e.g., resting metabolic rate, ventilation rate, microenvironmental factors) are sampling for statistical distributions to account for variability in these factors and the resulting exposures. In addition, both models can be run using Monte Carlo simulations that allow for evaluating how uncertainty of input parameters affects variability in exposures to simulated individuals. These two models different in that SHEDS can estimate multiroute exposures, including inhalation, while APEX only simulates inhalation exposure. Advantages of ME that were identified in the 2013 Ozone ISA include the ability of the user to design analyses for specific populations (assuming that demographic and time-activity data are available) and to include indoor air sources (which are uncommon for ozone). Limitations include resource intensiveness of the ME models and that indoor exposures cannot be easily evaluated (Georgopoulos et al., 2005), the latter of which is of lesser importance for estimating ambient air exposure."
540,80269,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,"Georgopoulos et al., 2005","The 2013 Ozone ISA and the 2019 PM ISA (U.S. EPA, 2018, 2013) presented several studies that evaluated integrated microenvironmental exposure (ME) and dose models, such as the Air Pollutants Exposure (APEX) and the Stochastic Human Exposure and Dose Simulation (SHEDS) model (U.S. EPA, 2016, 2009). These ME models use pollutant concentrations, human time-activity patterns, population demographics (e.g., age, sex, race/ethnicity), anthropometric attributes (e.g., height, weight), physiological information (e.g., energy expenditure, breathing rate), and building ventilation to predict human exposures that occur in different locations (e.g., at home, at work, in a vehicle). Both APEX and SHEDS models are population-based, meaning that demographic data from the US Census are used to appropriately weight the model simulated population to represent a larger population. APEX in particular (and prior versions of that model) has been used to estimate exposure and risk for criteria pollutants over the past three decades. Because these models are probabilistic, many of the key model input variables (e.g., resting metabolic rate, ventilation rate, microenvironmental factors) are sampling for statistical distributions to account for variability in these factors and the resulting exposures. In addition, both models can be run using Monte Carlo simulations that allow for evaluating how uncertainty of input parameters affects variability in exposures to simulated individuals. These two models different in that SHEDS can estimate multiroute exposures, including inhalation, while APEX only simulates inhalation exposure. Advantages of ME that were identified in the 2013 Ozone ISA include the ability of the user to design analyses for specific populations (assuming that demographic and time-activity data are available) and to include indoor air sources (which are uncommon for ozone). Limitations include resource intensiveness of the ME models and that indoor exposures cannot be easily evaluated (Georgopoulos et al., 2005), the latter of which is of lesser importance for estimating ambient air exposure."
541,1508492,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,"U.S. EPA, 2013","Strengths and limitations identified in recent studies (Table 2-14) agree with ME model studies presented in the 2013 Ozone ISA (U.S. EPA, 2013). Dionisio et al. (2014) found that exposure estimates were 72% higher when using the ME model with an incorporated CTM compared with using fixed-site measurements alone as exposure surrogates. The majority of that difference came from the inclusion of time-activity data in the ME model. Reich et al. (2012) found that ME models produced lower estimates of exposure than did fixed-site monitors. However, the ME models were not validated with personal monitors, so the extent of this error was unknown. Dionisio et al. (2017) used APEX to simulate O3 exposure to individuals in 12 U.S. cities. They found for the simulated scenarios that climate and air quality were more influential on exposure than simulated demographic changes. Ozkaynak et al. (2014) compared SHEDS and APEX with other exposure models for use as input into an epidemiologic analysis in Atlanta, GA and New Jersey."
542,2353702,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,Dionisio et al. (2014),"Strengths and limitations identified in recent studies (Table 2-14) agree with ME model studies presented in the 2013 Ozone ISA (U.S. EPA, 2013). Dionisio et al. (2014) found that exposure estimates were 72% higher when using the ME model with an incorporated CTM compared with using fixed-site measurements alone as exposure surrogates. The majority of that difference came from the inclusion of time-activity data in the ME model. Reich et al. (2012) found that ME models produced lower estimates of exposure than did fixed-site monitors. However, the ME models were not validated with personal monitors, so the extent of this error was unknown. Dionisio et al. (2017) used APEX to simulate O3 exposure to individuals in 12 U.S. cities. They found for the simulated scenarios that climate and air quality were more influential on exposure than simulated demographic changes. Ozkaynak et al. (2014) compared SHEDS and APEX with other exposure models for use as input into an epidemiologic analysis in Atlanta, GA and New Jersey."
543,2647921,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,Reich et al. (2012),"Strengths and limitations identified in recent studies (Table 2-14) agree with ME model studies presented in the 2013 Ozone ISA (U.S. EPA, 2013). Dionisio et al. (2014) found that exposure estimates were 72% higher when using the ME model with an incorporated CTM compared with using fixed-site measurements alone as exposure surrogates. The majority of that difference came from the inclusion of time-activity data in the ME model. Reich et al. (2012) found that ME models produced lower estimates of exposure than did fixed-site monitors. However, the ME models were not validated with personal monitors, so the extent of this error was unknown. Dionisio et al. (2017) used APEX to simulate O3 exposure to individuals in 12 U.S. cities. They found for the simulated scenarios that climate and air quality were more influential on exposure than simulated demographic changes. Ozkaynak et al. (2014) compared SHEDS and APEX with other exposure models for use as input into an epidemiologic analysis in Atlanta, GA and New Jersey."
544,3603960,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,Dionisio et al. (2017),"Strengths and limitations identified in recent studies (Table 2-14) agree with ME model studies presented in the 2013 Ozone ISA (U.S. EPA, 2013). Dionisio et al. (2014) found that exposure estimates were 72% higher when using the ME model with an incorporated CTM compared with using fixed-site measurements alone as exposure surrogates. The majority of that difference came from the inclusion of time-activity data in the ME model. Reich et al. (2012) found that ME models produced lower estimates of exposure than did fixed-site monitors. However, the ME models were not validated with personal monitors, so the extent of this error was unknown. Dionisio et al. (2017) used APEX to simulate O3 exposure to individuals in 12 U.S. cities. They found for the simulated scenarios that climate and air quality were more influential on exposure than simulated demographic changes. Ozkaynak et al. (2014) compared SHEDS and APEX with other exposure models for use as input into an epidemiologic analysis in Atlanta, GA and New Jersey."
545,2443206,2.3.2.5,2,3,2,5,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Exposure Assessment Methods,Modeling,Microenvironmental Modeling,,,Ozkaynak et al. (2014),"Strengths and limitations identified in recent studies (Table 2-14) agree with ME model studies presented in the 2013 Ozone ISA (U.S. EPA, 2013). Dionisio et al. (2014) found that exposure estimates were 72% higher when using the ME model with an incorporated CTM compared with using fixed-site measurements alone as exposure surrogates. The majority of that difference came from the inclusion of time-activity data in the ME model. Reich et al. (2012) found that ME models produced lower estimates of exposure than did fixed-site monitors. However, the ME models were not validated with personal monitors, so the extent of this error was unknown. Dionisio et al. (2017) used APEX to simulate O3 exposure to individuals in 12 U.S. cities. They found for the simulated scenarios that climate and air quality were more influential on exposure than simulated demographic changes. Ozkaynak et al. (2014) compared SHEDS and APEX with other exposure models for use as input into an epidemiologic analysis in Atlanta, GA and New Jersey."
546,1508492,2.4,2,4,.,.,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Personal Exposure,,,,,"U.S. EPA, 2013","This section builds upon discussions from the 2013 Ozone ISA (U.S. EPA, 2013) about relationships between indoor and outdoor ambient ozone concentrations and between personal exposure to ambient ozone and ambient ozone concentrations. Section 2.4.1 describes recent advances in characterizing time-activity data for exposed people, given advances in global positioning system (GPS) technologies and the continued updating of the Consolidated Human Activity Database (CHAD). Summaries of relevant discussions from the 2013 Ozone ISA are included in Section 2.4.2 and Section 2.4.3. Findings in more recent studies are largely consistent with the findings reported in the 2013 Ozone ISA."
547,1508492,2.4.1,2,4,1,.,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Personal Exposure,Time-Activity Data,,,,"U.S. EPA, 2013","The 2013 Ozone ISA (U.S. EPA, 2013) provided only limited discussion of time-activity patterns. Ozone-averting behavior, or the tendency to stay indoors as much as possible to avoid exposure on days with high ambient ozone concentrations, as reported by the news media, was described as one factor that could change time-activity patterns. Recent technological advances in GPS technologies and expansions to existing time-activity databases have expanded the information base regarding time-activity. Such new tools have enabled an examination of factors that influence time-activity patterns and errors in those relationships."
548,3350587,2.4.1,2,4,1,.,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Personal Exposure,Time-Activity Data,,,,"Isaacs, 2014","Data through 2010 are available from the CHAD database to compare time-activity data among different population strata for 25,431 individuals who reported 54,373 days of data (Isaacs, 2014). Summaries of the percentage and number of person-minutes in different locations based on all individuals with diaries in this version of CHAD during the warm months (April-September) for all day (12:00 a.m.-11:59 p.m.) and for the afternoon and early evening (12:00 p.m.-8:00 p.m.), assumed to be the period when ozone concentration is at a maximum each day, are presented in Table 2-1 through Table 2-3 based on an analysis of the data within the Office of Research and Development (ORD). These tables indicate that across this population of individuals in CHAD, substantially more time was spent indoors at home for children younger than 6 years and for adults older than 64 years, while teens ages 12-19 years and adults 20-64 years spent the least amount of time indoors at home. Similarly, young children spent the least amount of time in transit, while adults 20-64 years spent the most time in transit. Teens ages 12-19 years spent the largest proportion of the day outdoors, while older adults spent the least amount of time outdoors. Time spent outdoors by young children ages 0-5 years was similar to that of older adults. A prior analysis of CHAD data gauged the percentage of study participants who engaged in outdoor activities (participation rate was defined as the percentage of person-days in spending at least 1 minute outdoors) and the number of minutes spent outdoors per day during the afternoon and early evening (12:00 p.m.-8:00 p.m.), assumed to be the period when ozone concentration is at a maximum each day (U.S. EPA, 2014). Children and teens ages 4-18 years had the largest participation rate among those spending more than 2 hours outdoors and the largest mean time outdoors per person spending at least 1 minute outdoors, while younger adults (ages 19-35 years) had the highest participation rate among those spending more than 1 minute outdoors, and adults ages 35-50 years had the largest mean outdoors per person among those spending more than 2 hours outdoors. Moreover, U.S. EPA (2014) calculated that 79% of time spent by children ages 4-18 years and 63% of afternoon time outdoors spent by adults ages 19-95 years involved at least moderate exertion. This CHAD summary of time-activity data by race/ethnicity from the CHAD database (Table 2-2) indicates that Hispanic study participants spent slightly more time at a residential location indoors than the total population, while white study participants spent the most time outdoors compared with Asian, black, and Hispanic participants (Table 2-2). However, 11% of participants had missing race/ethnicity data or did not to provide information regarding race/ethnicity, so these results should be interpreted cautiously. Males spent more time outdoors than females (Table 2-3). Such analyses of the CHAD data collectively suggest that older children, males, and those of white race may spend the most time outdoors during warm weather, where they could be exposed to elevated ozone concentrations."
549,2914256,2.4.1,2,4,1,.,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Personal Exposure,Time-Activity Data,,,,"U.S. EPA, 2014","Data through 2010 are available from the CHAD database to compare time-activity data among different population strata for 25,431 individuals who reported 54,373 days of data (Isaacs, 2014). Summaries of the percentage and number of person-minutes in different locations based on all individuals with diaries in this version of CHAD during the warm months (April-September) for all day (12:00 a.m.-11:59 p.m.) and for the afternoon and early evening (12:00 p.m.-8:00 p.m.), assumed to be the period when ozone concentration is at a maximum each day, are presented in Table 2-1 through Table 2-3 based on an analysis of the data within the Office of Research and Development (ORD). These tables indicate that across this population of individuals in CHAD, substantially more time was spent indoors at home for children younger than 6 years and for adults older than 64 years, while teens ages 12-19 years and adults 20-64 years spent the least amount of time indoors at home. Similarly, young children spent the least amount of time in transit, while adults 20-64 years spent the most time in transit. Teens ages 12-19 years spent the largest proportion of the day outdoors, while older adults spent the least amount of time outdoors. Time spent outdoors by young children ages 0-5 years was similar to that of older adults. A prior analysis of CHAD data gauged the percentage of study participants who engaged in outdoor activities (participation rate was defined as the percentage of person-days in spending at least 1 minute outdoors) and the number of minutes spent outdoors per day during the afternoon and early evening (12:00 p.m.-8:00 p.m.), assumed to be the period when ozone concentration is at a maximum each day (U.S. EPA, 2014). Children and teens ages 4-18 years had the largest participation rate among those spending more than 2 hours outdoors and the largest mean time outdoors per person spending at least 1 minute outdoors, while younger adults (ages 19-35 years) had the highest participation rate among those spending more than 1 minute outdoors, and adults ages 35-50 years had the largest mean outdoors per person among those spending more than 2 hours outdoors. Moreover, U.S. EPA (2014) calculated that 79% of time spent by children ages 4-18 years and 63% of afternoon time outdoors spent by adults ages 19-95 years involved at least moderate exertion. This CHAD summary of time-activity data by race/ethnicity from the CHAD database (Table 2-2) indicates that Hispanic study participants spent slightly more time at a residential location indoors than the total population, while white study participants spent the most time outdoors compared with Asian, black, and Hispanic participants (Table 2-2). However, 11% of participants had missing race/ethnicity data or did not to provide information regarding race/ethnicity, so these results should be interpreted cautiously. Males spent more time outdoors than females (Table 2-3). Such analyses of the CHAD data collectively suggest that older children, males, and those of white race may spend the most time outdoors during warm weather, where they could be exposed to elevated ozone concentrations."
550,2914256,2.4.1,2,4,1,.,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Personal Exposure,Time-Activity Data,,,,U.S. EPA (2014),"Data through 2010 are available from the CHAD database to compare time-activity data among different population strata for 25,431 individuals who reported 54,373 days of data (Isaacs, 2014). Summaries of the percentage and number of person-minutes in different locations based on all individuals with diaries in this version of CHAD during the warm months (April-September) for all day (12:00 a.m.-11:59 p.m.) and for the afternoon and early evening (12:00 p.m.-8:00 p.m.), assumed to be the period when ozone concentration is at a maximum each day, are presented in Table 2-1 through Table 2-3 based on an analysis of the data within the Office of Research and Development (ORD). These tables indicate that across this population of individuals in CHAD, substantially more time was spent indoors at home for children younger than 6 years and for adults older than 64 years, while teens ages 12-19 years and adults 20-64 years spent the least amount of time indoors at home. Similarly, young children spent the least amount of time in transit, while adults 20-64 years spent the most time in transit. Teens ages 12-19 years spent the largest proportion of the day outdoors, while older adults spent the least amount of time outdoors. Time spent outdoors by young children ages 0-5 years was similar to that of older adults. A prior analysis of CHAD data gauged the percentage of study participants who engaged in outdoor activities (participation rate was defined as the percentage of person-days in spending at least 1 minute outdoors) and the number of minutes spent outdoors per day during the afternoon and early evening (12:00 p.m.-8:00 p.m.), assumed to be the period when ozone concentration is at a maximum each day (U.S. EPA, 2014). Children and teens ages 4-18 years had the largest participation rate among those spending more than 2 hours outdoors and the largest mean time outdoors per person spending at least 1 minute outdoors, while younger adults (ages 19-35 years) had the highest participation rate among those spending more than 1 minute outdoors, and adults ages 35-50 years had the largest mean outdoors per person among those spending more than 2 hours outdoors. Moreover, U.S. EPA (2014) calculated that 79% of time spent by children ages 4-18 years and 63% of afternoon time outdoors spent by adults ages 19-95 years involved at least moderate exertion. This CHAD summary of time-activity data by race/ethnicity from the CHAD database (Table 2-2) indicates that Hispanic study participants spent slightly more time at a residential location indoors than the total population, while white study participants spent the most time outdoors compared with Asian, black, and Hispanic participants (Table 2-2). However, 11% of participants had missing race/ethnicity data or did not to provide information regarding race/ethnicity, so these results should be interpreted cautiously. Males spent more time outdoors than females (Table 2-3). Such analyses of the CHAD data collectively suggest that older children, males, and those of white race may spend the most time outdoors during warm weather, where they could be exposed to elevated ozone concentrations."
551,1060424,2.4.1,2,4,1,.,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Personal Exposure,Time-Activity Data,,,,"Graham and Mccurdy, 2004","The CHAD database provides a detailed picture of time-activity across population groups and has a large number of days. Several caveats should be noted (Graham and Mccurdy, 2004). CHAD combines data from several different studies conducted over several years. These studies collected data under different circumstances, and in some cases, variables could not be combined. Validation techniques for the data inputted into CHAD may have differed across studies, and it is possible that participants were not precise in providing time increments or that missingness of data could have been handled differently across studies. Moreover, when presenting the data by age, race/ethnicity, and sex, some studies may have contributed a disproportionate amount of data to that group, because the objective of the individual study may have been to characterize time-activity patterns for a segment of the population rather than for the population as a whole."
552,2533584,2.4.1,2,4,1,.,.,.,APPENDIX 2 | EXPOSURE TO AMBIENT OZONE,Personal Exposure,Time-Activity Data,,,,Glasgow et al. (2014),"Recent studies have focused on the use of GPS technologies, such as in smartphones, to develop detailed time-activity pattern data. This technology has the potential to allow a time-activity study to overcome limitations of time-activity diaries, such as imprecise estimation of time-location data. For example, Glasgow et al. (2014) analyzed the frequency of Android-based smartphones in recording positional data among a panel of study participants and found that on average 74% of the data was collected over intervals shorter than 5 minutes, which is a marked improvement over many time-activity studies using diaries. Positional errors are also a concern for GIS and GPS-based technologies. Several studies found that typical location errors based on smartphones were less than 26 m (Ganguly et al., 2015; Lane et al., 2013; Wu et al., 2010). Glasgow et al. (2014) observed much larger errors, with an overall median positional accuracy of 342 m and a range from 98 to 1,169 m using an Android-based smartphone, while Wu et al. (2010) observed much smaller errors when comparing two smartphones with three other GPS technologies. The magnitude of positional errors may be important, because positional error has the potential to lead to location misclassification of time-activity patterns."
