,header_num,header_text,ref_text,hero_id,REFERENCE_ID,PMID,WOSID,DOI,TITLE,AUTHORS,YEAR,ABSTRACT
562,3.5.5.3,Passive Air Sampling Devices and Sensors,"Ohira et al., 2009: http://hero.epa.gov/index.cfm?action=search.view&reference_id=595113",595113,595113,19402646.0,WOS:000266601800007,10.1021/ac801756z,"Fiber optic sensor for simultaneous determination of atmospheric nitrogen dioxide, ozone, and relative humidity","Ohira, SI; Dasgupta, PK; Schug, KA",2009.0,"We describe a novel optical sensor for the simultaneous measurement of atmospheric nitrogen dioxide (NO2), ozone (O3), and relative humidity (RH). A transparent backing thin layer silica gel chromatographic plate impregnated with 8-amino-1-naphthol-5-sulfonic acid (ANS) is used as the collection/sensor element. The plate transmittance is probed by three discrete light emitting diodes (LEDs) centered, respectively, at 442, 525, and 850 nm. The transmission of the plate changes reversibly across visible to NIR wavelengths as the RH around the plate changes; this is the basis for a limited-resolution RH sensor. The ANS on the plate reacts to form brown and pink colored products, respectively, when it reacts with NO2 and O3. The sample air impinges on the plate via an entrance nozzle. The LEDs are alternately turned on in a preprogrammed manner and the light is brought to the impregnated face of the plate by a three-legged fiber optic. The transmitted light is detected on the obverse side of the plate. The 850 nm signal provides the RH value and optionally serves as the reference measurement for the other two wavelengths; the NO2 and O3 reaction products do not absorb at this wavelength. The absorbance at 442 and 525 nm, thus referenced against 850 nm, are used to obtain NO2 and O3 concentrations from a pair of simultaneous equations. For a sampling period of 5 min, the limits of detection (LOD) based on 3 times the standard deviation of blank responses were 0.64 and 0.42 ppbv for NO2 and O3, respectively. Data obtained with collocated commercial instruments (O3 induced chemiluminescence analyzer for NO2 and UV-absorption for O3) show good agreement. Overall, this provides a viable affordable approach for inexpensive measurement of atmospheric NO2 and O3."
567,3.5.5.4,Differential Optical Absorption Spectrometry,Lee et al. (2008b: http://hero.epa.gov/index.cfm?action=search.view&reference_id=595175,595175,595175,17335958.0,WOS:000253379800016,10.1016/j.jenvman.2006.12.044,"Application of a long-path differential optical absorption spectrometer (LP-DOAS) on the measurements of NO(2), SO(2), O(3), and HNO(2) in Gwangju, Korea","Lee, J; Kim, KH; Kim, YJ; Lee, J",2008.0,"A differential optical absorption spectrometer (DOAS) technique has been applied to monitor airborne trace pollutants including NO(2), SO(2), O(3), and HNO(2) in the ultraviolet (UV) region (290-350 nm) over a 1.5 km beam path (two ways) during an intensive measurement campaign held at Gwangju, Korea (March 2002). Their mean mixing ratios (and standard deviations) were computed as 11.3 (8.8), 1.9 (1.7), 17.1 (19.3), and 0.5 (0.4)ppbv, respectively. As a means to evaluate the performance of the long-path DOAS (LP-DOAS) system with conventional point monitoring systems (PMS), correlation analysis was conducted between the two data sets. These data sets were then inspected to account for the influence of the environmental conditions on the correlation strength between the two systems, especially with respect to light level and wind speed. To facilitate the comparison, correlation analyses were conducted after dividing the data sets for those parameters into several classes. The strength of the correlations between DOAS and meteorological parameters was also examined to evaluate their effects on the DOAS performance. It was found that, among the four pollutant species, O(3) is the most sensitive to changes in meteorological conditions in relation with atmospheric mixing conditions. The overall results of our study indicate that open-path monitoring techniques can be used to effectively diagnose air quality and be substituted for the conventional point monitoring methods with the proper consideration of those parameters affecting the DOAS sensitivity (e.g., light level and wind speed)."
606,3.6.2.1,Urban-Focused Variability,Pinto et al. (2004: http://hero.epa.gov/index.cfm?action=search.view&reference_id=25033,25033,25033,15115373.0,WOS:000220643300009,10.1080/10473289.2004.10470919,Spatial variability of PM2.5 in urban areas in the United States,"Pinto, JP; Lefohn, AS; Shadwick, DS",2004.0,"Data from the U.S. Environmental Protection Agency's Aerometric Information Retrieval System (now known as the Air Quality System) database for 1999 and 2000 have been used to characterize the spatial variability of concentrations of particulate matter with aerodynamic diameter <2.5 Ag (PM2.5) in 27 urban areas across the United States. Different measures were used to quantify the degree of uniformity of PM2.5 concentrations in the urban areas characterized. It was observed that PM2.5 concentrations varied to differing degrees in the urban areas examined. Analyses of several urban areas in the Southeast indicated high correlations between site pairs and spatial uniformity in concentration fields. Considerable spatial variation was found in other regions, especially in the West. Even within urban areas in which all site pairs were highly correlated, a variable degree of heterogeneity in PM2.5 concentrations was found. Thus, even though concentrations at pairs of sites were highly correlated, their concentrations were not necessarily the same. These findings indicate that the potential for exposure misclassification errors in time-series epidemiologic studies exists. 
Implications: Epidemiologic time-series studies typically use daily 24-hr particulate matter concentrations averaged across several monitors in a city or data obtained at a central monitoring site to relate to health outcomes. If 24-hr average concentrations differ significantly across an urban area, exposure misclassification could be an important consideration when an average of ambient monitors is used as a surrogate for personal exposure. Correlation coefficients alone may not be sufficient to determine whether PM2.5 concentrations are uniform within urban areas. Exposure misclassification errors resulting from the neglect of spatial variability may contribute to uncertainties in the relative risk estimates in epidemiologic studies."
611,3.6.2.1,Urban-Focused Variability,Riediker et al. (2003: http://hero.epa.gov/index.cfm?action=search.view&reference_id=43761,43761,43761,12785511.0,WOS:000182866000008,10.1021/es026264y,"Exposure to particulate matter, volatile organic compounds, and other air pollutants inside patrol cars","Riediker, M; Williams, R; Devlin, R; Griggs, T; Bromberg, P",2003.0,"People driving in a vehicle might receive an enhanced dose of mobile source pollutants that are considered a potential risk for cardiovascular diseases. The exposure to components of air pollution in highway patrol vehicles, at an ambient, and a roadside location was determined during 25 work shifts (3 p.m. to midnight) in the autumn of 2001, each day with two cars. A global positioning system and a diary provided location and activity information. Average pollutant levels inside the cars were low compared to ambient air quality standards: carbon monoxide 2.7 ppm, nitrogen dioxide 41.7 Ag/m3, ozone 11.7 ppb, particulate matter smaller 2.5 Am (PM2.5) 24 Ag/m3. Volatile organic compounds inside the cars were in the ppb-range and showed the fingerprint of gasoline. PM2.5 was 24% lower than ambient and roadside levels, probably due to depositions associated with the recirculating air conditioning. Levels of carbon monoxide, aldehydes, hydrocarbons, and some metals (Al, Ca, Ti, V, Cr, Mn, Fe, Cu, and Sr) were highest in the cars, and roadside levels were higher than ambient levels. Elevated pollutant levels were related to locations with high traffic volumes. Our results point to combustion engine emissions from other vehicles as important sources of air pollutants inside the car."
614,3.6.2.1,Urban-Focused Variability,Johnson (1995: http://hero.epa.gov/index.cfm?action=search.view&reference_id=79215,79215,79215,8938249.0,WOS:A1995TV01000006,,Recent advances in the estimation of population exposure to mobile source pollutants,"Johnson, TR",1995.0,"The U.S. Environmental Protection Agency (EPA) has developed several computer-based exposure models applicable to pollutants which are directly or indirectly linked to mobile sources. Probabilistic versions of the National Ambient Air Quality Standards (NAAQS) Exposure Model (pNEM) have been used to estimate the exposures of urban populations to carbon monoxide and ozone. An enhanced version of the Hazardous Air Pollutant Exposure Model (HAPEM-MS) has been used to develop city-specific estimates of exposure to benzene and other volatile organic compounds emitted by mobile sources. These models are similar in that each contains algorithms that simulate microenvironmental pollutant levels, time/activity patterns, and commuting patterns. The pNEM models also provide estimates of equivalent ventilation rate (EVR), defined as ventilation rate divided by body surface area. This paper summarizes the methods and results of selected research projects conducted since 1991 with the goal of improving pNEM, HAPEM-MS, and similar exposure models applicable to mobile source pollutants. The studies include: (1) the development of an improved algorithm for estimating EVR, (2) a field study to measure ozone levels near roadways and inside vehicles, (3) the development of an algorithm for estimating school commuting patterns, and (4) the construction of a comprehensive database containing time/activity data from ten activity diary studies."
616,3.6.2.1,Urban-Focused Variability,"Jo and Park, 2005: http://hero.epa.gov/index.cfm?action=search.view&reference_id=674762",674762,674762,15894044.0,WOS:000230321500005,10.1016/j.chemosphere.2004.12.021,"Characteristics of roadside air pollution in Korean metropolitan city (Daegu) over last 5 to 6 years: Temporal variations, standard exceedances, and dependence on meteorological conditions","Jo, WK; Park, JH",2005.0,"The present study performed a roadside data analysis to provide baseline data for exploring associations between environmental exposure to four gaseous pollutants and health effects on residents living near roadways. The yearly roadside concentrations of CO and SO2 showed a well-defined decreasing trend, whereas those of NO2 and O3 exhibited the reverse trend. In most cases, the diurnal trends of the roadside concentrations were well-defined for all seasons, plus the daytime concentrations were higher than the nighttime concentrations. In contrast to the other target pollutants, the daytime O3 concentrations observed at the roadside sites were lower than those observed at the residential site, likely due to high-levels of fresh NO from traffic emissions that rapidly react with O3, thereby reducing the O3 roadside level. The Sunday roadside concentrations of CO, NO2, and SO2 were similar to or somewhat lower than the weekday concentrations. Conversely, for O3 the Sunday roadside concentrations were similar to or somewhat higher than the weekday concentrations. The higher O3 concentrations on Sunday may be due to the reduced titration from a decrease in NOx emissions under VOC-limited conditions (low VOC/NOx conditions). The monthly averages of O3 concentrations exhibited the reverse seasonal variation to the other target compounds, with peak O3 concentrations between April and June, and the second peak between August and October. It is also suggested that for O3, the 8-h standard is more stringent than the 1-h standard, while for NO2 and SO2, the 1-h standard is more stringent than the 24-h standard. The multiple regression equations obtained from the relationship between the concentrations and five meteorological parameters indicated that the number and type of meteorological variables in the equations varied according to the pollutant, monitoring station, or season."
634,4.2,General Exposure Concepts,"Wilson et al., 2000: http://hero.epa.gov/index.cfm?action=search.view&reference_id=10288",10288,10288,10939210.0,WOS:000088491900011,10.1080/10473289.2000.10464164,Estimating separately personal exposure to ambient and nonambient particulate matter for epidemiology and risk assessment: Why and how,"Wilson, WE; Mage, DT; Grant, LD",2000.0,"U.S. Environmental Protection Agency. This paper discusses the legal and scientific reasons for separating personal exposure to PM into ambient and nonambient components. It then demonstrates by several examples how well-established models and data typically obtained in exposure field studies can be used to estimate both individual and community average expo-sure to ambient-generated PM (ambient PM outdoors plus ambient PM that has infiltrated indoors), indoor-generated PM, and personal activity PM. Ambient concentrations are not highly correlated with personal exposure to nonambient PM or total PM but are highly correlated with personal exposure to ambient-generated PM. Therefore, ambient concentrations may be used in epidemiology as an appropriate surrogate for personal exposure to ambient-generated PM. Suggestions are offered as to how exposure to ambient-generated PM may be obtained and used in epidemiology and risk assessment. Implications: Exposure analysts historically have sought to determine the total personal exposure to PM of all types in all environments. The lack of correlation between this parameter and ambient PM concentration has been considered an impediment to epidemiologic studies seeking to find an association between ambient PM concentrations and health outcomes. For community, time-series epidemiology, it is necessary only that the community average personal exposure to ambient-generated PM be correlated with the ambient PM concentration. If everyone spent the same amount of time outside and in each microenvironment each day, and the air exchange rate and any forced-air ventilation that resulted in particle removal was a constant, and PM concentrations were uniform across the community, a high correlation would be expected between the PM concentration measured by a community-based PM monitor and the personal exposure of each individual to ambient-generated PM. Also, a high correla-tion would be expected between ambient concentration and the exposure surrogate of interest in epidemiology, the community average personal exposure to ambient-generated PM. For short-term panel studies, time-series should be determined for all classes of PM. For cohort studies of long-term effects, consideration must be given to the influence of possible variations in exposures to nonambient-generated PM because of differences among cities in time-location patterns (fractions of time spent outdoors), average air exchange rates, and average concentrations of indoor-generated and personal activity PM."
639,4.3.1,Personal Monitoring Techniques,"Sarnat et al., 2006a: http://hero.epa.gov/index.cfm?action=search.view&reference_id=89784",89784,89784,16675415.0,WOS:000237308500028,10.1289/ehp.8422,Factors affecting the association between ambient concentrations and personal exposures to particles and gases,"Sarnat, SE; Coull, BA; Schwartz, J; Gold, DR; Suh, HH",2006.0,"Results from air pollution exposure assessment studies suggest that ambient fine particles [particulate matter with aerodynamic diameter<or=2.5 microg (PM2.5)], but not ambient gases, are strong proxies of corresponding personal exposures. For particles, the strength of the personal-ambient association can differ by particle component and level of home ventilation. For gases, however, such as ozone (O3), nitrogen dioxide (NO2), and sulfur dioxide (SO2), the impact of home ventilation on personal-ambient associations is untested. We measured 24-hr personal exposures and corresponding ambient concentrations to PM2.5, sulfate (SO2-(4)), elemental carbon, O3, NO2, and SO2 for 10 nonsmoking older adults in Steubenville, Ohio. We found strong associations between ambient particle concentrations and corresponding personal exposures. In contrast, although significant, most associations between ambient gases and their corresponding exposures had low slopes and R2 values; the personal-ambient NO2 association in the fall season was moderate. For both particles and gases, personal-ambient associations were highest for individuals spending most of their time in high- compared with low-ventilated environments. Cross-pollutant models indicated that ambient particle concentrations were much better surrogates for exposure to particles than to gases. With the exception of ambient NO2 in the fall, which showed moderate associations with personal exposures, ambient gases were poor proxies for both gas and particle exposures. In combination, our results suggest that a) ventilation may be an important modifier of the magnitude of effect in time-series health studies, and b) results from time-series health studies based on 24-hr ambient concentrations are more readily interpretable for particles than for gases."
646,4.3.1,Personal Monitoring Techniques,"Sarnat et al., 2005: http://hero.epa.gov/index.cfm?action=search.view&reference_id=87531",87531,87531,15824556.0,WOS:000228568400018,10.1097/01.ede.0000155505.04775.33,Ambient gas concentrations and personal particulate matter exposures: Implications for studying the health effects of particles,"Sarnat, JA; Brown, KW; Schwartz, J; Coull, BA; Koutrakis, P",2005.0,"BACKGROUND: Data from a previous study conducted in Baltimore, MD, showed that ambient fine particulate matter less than 2.5 mum in diameter (PM2.5) concentrations were strongly correlated with corresponding personal PM2.5 exposures, whereas ambient O3, NO2, and SO2 concentrations were weakly correlated with their personal exposures to these gases. In contrast, many of the ambient gas concentrations were reasonable surrogates of personal PM2.5 exposures. 

METHODS: Personal multipollutant exposures and corresponding ambient air pollution concentrations were measured for 43 subjects living in Boston, MA. The cohort consisted of 20 healthy senior citizens and 23 schoolchildren. Simultaneous 24-hour integrated PM2.5, O3, NO2, and SO2 personal exposures and ambient concentrations were measured. All PM2.5 samples were also analyzed for SO4 (sulfate). We analyzed personal exposure and ambient concentration data using correlation and mixed model regression analyses to examine relationships among (1) ambient PM2.5 concentrations and corresponding ambient gas concentrations; (2) ambient PM2.5 and gas concentrations and their respective personal exposures; (3) ambient gas concentrations and corresponding personal PM2.5 exposures; and (4) personal PM2.5 exposures and corresponding personal gas exposures. 

RESULTS: We found substantial correlations between ambient PM2.5 concentrations and corresponding personal exposures over the course of time. Additionally, our results support the earlier finding that summertime gaseous pollutant concentrations may be better surrogates of personal PM2.5 exposures (especially personal exposures to PM2.5 of ambient origin) than they are surrogates of personal exposures to the gases themselves. 

CONCLUSIONS: Particle health effects studies that include both ambient PM2.5 and gaseous concentrations as independent variables must be analyzed carefully and interpreted cautiously, since both parameters may be serving as surrogates for PM2.5 exposures."
653,4.3.1,Personal Monitoring Techniques,"Geyh et al., 1999: http://hero.epa.gov/index.cfm?action=search.view&reference_id=16908",16908,16908,10321353.0,WOS:000086103100006,10.1038/sj.jea.7500001,Initial field evaluation of the Harvard active ozone sampler for personal ozone monitoring,"Geyh, AS; Roberts, PT; Lurmann, FW; Schoell, BM; Avol, EL",1999.0,"Assessing personal exposure to ozone has only been feasible recently with the introduction of passive ozone samplers. These devices are easy to use, but changes in air velocity across their collection surfaces can affect performance. The Harvard active ozone sampler (AS) was developed in response to problems with the passive methods. This active sampler has been tested extensively as a microenvironmental sampler. To test for personal sampling, 40 children attending summer day-camp in Riverside, California wore the active ozone sampler for approximately 2.6 h on July 19 and 21, 1994,  when  ozone concentrations were about 100 ppb and 140 ppb, respectively. The children spent 94-100% of the sampling period outside, staying within a well-defined area while participating in normal camp activities. Ambient ozone concentrations across this area were monitored by two UV photometric ozone monitors. The active sampler was worn in a small backpack that was also equipped with a passive ozone sampler. Device precision, reported as the percent difference between duplicate pairs of samplers, was +/- 3.7% and +/- 4.2% for the active and passive samplers, respectively. The active sampler measured, on average, 94.5 +/- 8.2% of the ambient ozone while the passive samplers measured, on average, 124.5 +/- 18.8%. The samplers were worn successfully for the entire sampling period by all participating children."
656,4.3.2,Indoor-Outdoor Concentration Relationships,"Reiss et al., 1995b: http://hero.epa.gov/index.cfm?action=search.view&reference_id=78743",78743,78743,7583840.0,WOS:A1995TB41600008,10.1080/10473289.1995.10467411,"Measurement of organic acids, aldehydes, and ketones in residential environments and their relation to ozone","Reiss, R; Ryan, PB; Tibbetts, SJ; Koutrakis, P",1995.0,"Ozone and several polar volatile organic compounds (VOCs) including organic acids and carbonyls (aldehydes and ketones) were measured over an aroximately 24 hour period in four residences during the winter of 1993 and in nine residences during the summer of 1993. All residences were in the greater Boston, Massachusetts area. The relation of the polar VOCs to the ozone concentration was examined. Indoor carbonyl concentrations were similar between the summer and winter, with the total mean winter concentration being 31.7 ppb and the total mean summer concentration being 36.6 ppb. However, the average air exchange rate was 0.9 hr(-1) during the winter and 2.6 hr(-1) during the summer. Therefore, the estimated carbonyl emission rates were significantly higher during the summer. Indoor organic acid concentrations were about twice as high during the summer as during the winter. For formic acid, the indoor winter mean was 9.8 ppb, and the summer indoor mean was 17.8 ppb. For acetic acid, the indoor winter mean was 15.5 ppb, and the summer indoor mean was 28.7 ppb. The concentrations of the polar VOCs were found to be significantly correlated with one another. Also, the emission rates of the polar VOCs were found to be correlated with both the environmental variables such as temperature and relative humidity and the ozone removal rate; however, it was difficult to apportion the relative effects of the environmental variables and the ozone removal."
658,4.3.2,Indoor-Outdoor Concentration Relationships,"Reiss et al., 1995a: http://hero.epa.gov/index.cfm?action=search.view&reference_id=78727",78727,78727,22191336.0,WOS:A1995RL82900029,10.1021/es00008a007,Ozone reactive chemistry on interior latex paint,"Reiss, R; Ryan, PB; Koutrakis, P; Tibbetts, SJ",1995.0,"#The heterogeneous chemistry of ozone on interior latex paint was investigated in a tube flow reactor. The emissions of several polar volatile organic compounds(VOCs) including organic acids and carbonyls (aldehydes and ketones) were measured while a glass tube coated with latex paint was exposed to clean air and ozone. Four different commercial brands of latex paint were tested. Formic and acetic acids were not found to be generated via ozone reactions; however, both were found to off-gas from the latex paints, and the off-gasing increased with increasing relative humidity. The off-gasing rates are large enough, particularly for acetic acid, to impact residential concentrations significantly. Formaldehyde was found to be produced by reactions related to the ozone concentration. There was some evidence that acetaldehyde and acetone may also be produced by processes related to the ozone concentration. A steady-state model is presented that is used to extrapolate the chamber results to a representative indoor environment The model is based on an experimentally derived parameter termed the VOC formation factor, which is defined as the number of VOC molecules of a particular species formed via an ozone reaction divided by the total number of ozone molecules sticking to the surface. Using this model, it was found that formaldehyde production via ozone reactions is significant enough to impact indoor concentrations of formaldehyde."
659,4.3.2,Indoor-Outdoor Concentration Relationships,Geyh et al. (2000: http://hero.epa.gov/index.cfm?action=search.view&reference_id=1775,1775,1775,1637960.0,WOS:000086031400037,10.1289/ehp.00108265,The Harvard Southern California chronic ozone exposure study: Assessing ozone exposure of grade-school-age children in two southern California communities,"Geyh, AS; Xue, J; Ozkaynak, H; Spengler, JD",2000.0,"The Harvard Southern California Chronic Ozone Exposure Study measured personal exposure to, and indoor and outdoor ozone concentrations of, approximately 200 elementary school children 6-12 years of age for 12 months (June 1995-May 1996). We selected two Southern California communities, Upland and several towns located in the San Bernardino mountains, because certain characteristics of those communities were believed to affect personal exposures. On 6 consecutive days during each study month, participant homes were monitored for indoor and outdoor ozone concentrations, and participating children wore a small passive ozone sampler to measure personal exposure. During each sampling period, the children recorded time-location-activity information in a diary. Ambient ozone concentration data were obtained from air quality monitoring stations in the study areas. We present ozone concentration data for she ozone season (June-September 1995 and May 1996) and the nonozone season (October 1995-April 1996). During the ozone season, outdoor and indoor concentrations and personal exposure averaged 48.2, 11.8, and 18.8 ppb in Upland and 60.1, 21.4, and 25.4 ppb in the mountain towns, respectively. During the nonoxone season, outdoor and indoor concentrations and personal exposure averaged 21.1, 3.2, and 6.2 ppb in Upland, and 35.7, 2.8, and 5.7 ppb in the mountain towns, respectively. Personal exposure differed by community and sex, but not by age group."
672,4.3.2,Indoor-Outdoor Concentration Relationships,Lee et al. (2004a: http://hero.epa.gov/index.cfm?action=search.view&reference_id=55599,55599,55599,15061616.0,WOS:000220030300009,10.1080/10473289.2004.10470904,"Outdoor/indoor/personal ozone exposures of children in Nashville, Tennessee","Lee, K; Parkhurst, WJ; Xue, J; Ozkaynak, H; Neuberg, D; Spengler, JD",2004.0,"An ozone (O3) exposure study was conducted in Nashville, TN, using passive O3 samplers to measure six weekly outdoor, indoor, and personal O3 exposure estimates for a group of 10- to 12-yr-old elementary school children. Thirty-six children from two Nashville area communities (Inglewood and Hendersonville) participated in the O3 sampling program, and 99 children provided additional timeactivity information by telephone interview. By design, this study coincided with the 1994 Nashville/Middle Tennessee Ozone Study conducted by the Southern Oxidants Study, which provided enhanced continuous ambient O3 monitoring across the Nashville area. Passive sampling estimated weekly average outdoor O3 concentrations from 0.011 to 0.030 ppm in the urban Inglewood community and from 0.015 to 0.042 ppm in suburban Hendersonville. The maximum 1- and 8-hr ambient concentrations encountered at the Hendersonville continuous monitor exceeded the levels of the 1- and 8-hr metrics for the O3 National Ambient Air Quality Standard. Weekly average personal O3 exposures ranged from 0.0013 to 0.0064 ppm (7-31% of outdoor levels). Personal O3 exposures reflected the proportional amount of time spent in indoor and outdoor environments. Air-conditioned homes displayed very low indoor O3 concentrations, and homes using open windows and fans for ventilation displayed much higher concentrations.
Implications: This study demonstrates the usefulness of passive O3 sampling technology in measuring long-term outdoor/indoor/personal exposures. The test subjects did well in following simple directions concerning accurate exposure assessment and in keeping time-activity diaries. Personal O3 exposure, in between the extremes of higher outdoor and lower indoor exposures, is a function of time spent outdoors. Clearly, those children spending more time outdoors are subject to higher O3 exposures than are their more housebound peers. Continuous State and Local Air Monitoring System O3 monitoring results substantially overestimate weeklong indoor and personal O3 exposure. Centrally air-conditioned indoor environments confer a substantial degree of protection from ambient O3 levels."
674,4.3.2,Indoor-Outdoor Concentration Relationships,Héroux et al. (2010: http://hero.epa.gov/index.cfm?action=search.view&reference_id=758862,758862,758862,20948949.0,WOS:000281411100007,10.3390/ijerph7083080,Predictors of indoor air concentrations in smoking and non-smoking residences,"Heroux, ME; Clark, N; Van Ryswyk, K; Mallick, R; Gilbert, NL; Harrison, I; Rispler, K; Wang, D; Anastassopoulos, A; Guay, M; Macneill, M; Wheeler, AJ",2010.0,"Indoor concentrations of air pollutants (benzene, toluene, formaldehyde, acetaldehyde, acrolein, nitrogen dioxide, particulate matter, elemental carbon and ozone) were measured in residences in Regina, Saskatchewan, Canada. Data were collected in 106 homes in winter and 111 homes in summer of 2007, with 71 homes participating in both seasons. In addition, data for relative humidity, temperature, air exchange rates, housing characteristics and occupants' activities during sampling were collected. Multiple linear regression analysis was used to construct season-specific models for the air pollutants. Where smoking was a major contributor to indoor concentrations, separate models were constructed for all homes and for those homes with no cigarette smoke exposure. The housing characteristics and occupants' activities investigated in this study explained between 11% and 53% of the variability in indoor air pollutant concentrations, with ventilation, age of home and attached garage being important predictors for many pollutants."
676,4.3.2,Indoor-Outdoor Concentration Relationships,Liu et al. (1995: http://hero.epa.gov/index.cfm?action=search.view&reference_id=39061,39061,39061,7743405.0,WOS:A1995QU82900002,10.1080/10473289.1995.10467362,Assessment of ozone exposures in the greater metropolitan Toronto area,"Liu, LJS; Koutrakis, P; Leech, J; Broder, I",1995.0,"An ozone (O-3) exposure assessment study was conducted in Toronto, Ontario, Canada during the winter and summer of 1992. A new passive O-3 sampler developed by Harvard was used to measure indoor, outdoor, and personal O-3 concentrations. Measurements were taken weekly and daily during the winter and summer, respectively. Indoor samples were collected at a total of 50 homes and workplaces of study participants. Outdoor O-3 concentrations were measured both at home sites using the passive sampler and at 20 ambient monitoring sites with continuous monitors. Personal O-3 measurements were collected from 123 participants, who also completed detailed time-activity diaries. A total of 2,274 O-3 samples were collected. In addition, weekly air exchange rates of homes were measured. This study demonstrates the performance of our O-3 sampler for exposure assessment. The data obtained are further used to examine the relationships between personal, indoor (home and workplace), and outdoor O-3 concentrations, and to investigate outdoor and indoor spatial variations in O-3 concentrations. Based on home outdoor and indoor, workplace, and ambient O-3 concentrations measured at the Ontario Ministry of the Environment (MOE) sites, the traditional microenvironmental model predicts 72% of the variability in measured personal exposures. An alternative personal O-3 exposure model based on outdoor measurements and time-activity information is able to predict the mean personal exposures in a large population, with the highest R(2) value of 0.41."
678,4.3.2,Indoor-Outdoor Concentration Relationships,Blondeau et al. (2005: http://hero.epa.gov/index.cfm?action=search.view&reference_id=78044,78044,78044,15660564.0,WOS:000226514500001,10.1111/j.1600-0668.2004.00263.x,Relationship between outdoor and indoor air quality in eight French schools,"Blondeau, P; Iordache, V; Poupard, O; Genin, D; Allard, F",2005.0,"In the frame of the French national research program PRIMEQUAL (inter-ministry program for better air quality in urban environments), measurements of outdoor and indoor pollution have been carried out in eight schools in La Rochelle (France) and its suburbs. The buildings were naturally ventilated by opening the windows, or mechanically ventilated, and showed various air permeabilities. Ozone, nitrogen oxides (NO and NO2), and airborne particle (particle counts within 15 size intervals ranging from 0.3 to 15 m) concentrations were continuously monitored indoors and outdoors for two 2-week periods. The indoor humidity, temperature, CO2 concentration (an indicator of occupancy), window openings and building permeability were also measured. The temporal profiles of indoor and outdoor concentrations show ozone and nitrogen oxides behave differently: NO and NO2 indoor/outdoor concentration ratios (I/O) were found to vary in a range from 0.5 to 1, and from 0.88 to 1, respectively, but no correlation with building permeability was observed. On the contrary, I/O ratios of ozone vary in a range from 0 to 0.45 and seem to be strongly influenced by the building air-tightness: the more airtight the building envelope, the lower the ratio. Occupancy, through re-suspension of previously deposited particles and possible particle generation, strongly influences the indoor concentration level of airborne particles. However, this influence decreases with particle size, reflecting the way deposition velocities vary as a function of size. The influence of particle size on deposition and penetration across the building envelope is also discussed by analyzing the I/O ratios measured when the buildings were unoccupied, by comparing the indoor concentrations measured when the buildings were occupied and when they were not (O/U ratios), and by referring to previously published studies focussing on this topic. Except one case, I/O were found to vary in the range from 0.03 to 1.79. All O/U are greater than one and increase up to 100 with particle size. PRACTICAL IMPLICATIONS: Assessing children's total exposure requires the knowledge of outdoor and indoor air contaminant concentrations. The study presented here provides data on compared outdoor and indoor concentration levels in school buildings, as well as information on the parameters influencing the relationship between outdoor and indoor air quality. It may be used as a basis for estimating indoor concentrations from outdoor concentrations data, or as a first step in designing buildings sheltering children against atmospheric pollution."
682,4.3.3,Personal-Ambient Concentration Relationships,"Karner et al., 2010: http://hero.epa.gov/index.cfm?action=search.view&reference_id=785539",785539,785539,20560612.0,WOS:000279747100008,10.1021/es100008x,Near-roadway air quality: Synthesizing the findings from real-world data,"Karner, AA; Eisinger, DS; Niemeier, DA",2010.0,"Despite increasing regulatory attention and literature linking roadside air pollution to health outcomes, studies on near roadway air quality have not yet been well synthesized. We employ data collected from 1978 as reported in 41 roadside monitoring studies, encompassing more than 700 air pollutant concentration measurements, published as of June 2008. Two types of normalization, background and edge-of-road, were applied to the observed concentrations. Local regression models were specified to the concentration-distance relationship and analysis of variance was used to determine the statistical significance of trends. Using an edge-of-road normalization, almost all pollutants decay to background by 115-570 m from the edge of road; using the more standard background normalization, almost all pollutants decay to background by 160-570 m from the edge of road. Differences between the normalization methods arose due to the likely bias inherent in background normalization, since some reported background values tend to underpredict (be lower than) actual background. Changes in pollutant concentrations with increasing distance from the road fell into one of three groups: at least a 50% decrease in peak/edge-of-road concentration by 150 m, followed by consistent but gradual decay toward background (e.g., carbon monoxide, some ultrafine particulate matter number concentrations); consistent decay or change over the entire distance range (e.g., benzene, nitrogen dioxide); or no trend with distance (e.g., particulate matter mass concentrations)."
